Unnamed: 0,คลอง,กม.,Unnamed: 3,ระยะ,Qr,Qmax (จากแผนรอบเวรส่งน้ำ),Qd,A,V,Experiment,R,n,s,B,D,t,HC,HL,HR,Bm,TL,TR,RL,RR,หมายเหตุ,Unnamed: 26,คลอง.1,กม..1,Unnamed: 29,ระยะ.1,พื้นที่,ปริมาตรน้ำ,ปริมาตรน้ำสะสม,พื้นที่กันเขต
,,เริ่ม,สิ้นสุด,ม.,ม.3/วินาที,ม.3/วินาที,ม.3/วินาที,ม.2,ม./วินาที,ม./วินาที,ม.,,,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,,,,เริ่ม,สิ้นสุด,(ม.),(ตร.ม.),(ลบ.ม.),(ลบ.ม.),(ตร.ม.)
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,2500,,1782.5,,75000
,38R-LMC,0+000,1+010,1010,3.493,3.652,3.652,5.434,0.672,,0.791,0.018,0.0002,2,1.35,0.06,1.6,2,2,2,2,5,20,20,คลองดาดคอนกรีต,,38R-LMC,0+000,1+010,1010,5.433750000000001,5488.087500000001,5488.087500000001,40400
,,1+010,1+200,190,3.493,,3.652,5.434,0.672,,0.791,0.018,0.0002,2,1.35,0.06,1.6,2,2,2,5,5,20,20,คลองดาดคอนกรีต,,,1+010,1+200,190,5.433750000000001,1032.4125000000001,6520.500000000001,7600
,,1+200,1+720,520,3.421,3.652,3.652,5.434,0.672,,0.791,0.018,0.0002,2,1.35,0.06,1.6,2,2,2,5,5,20,20,คลองดาดคอนกรีต,,,1+200,1+720,520,5.433750000000001,2825.55,9346.050000000001,20800
,,1+720,3+000,1280,1.939,2.008,2.01,3.465,0.58,,0.634,0.018,0.0002,1.5,1.1,0.06,1.3,1.7,1.7,1,5,5,20,20,คลองดาดคอนกรีต,,,1+720,3+000,1280,3.4650000000000007,4435.200000000001,13781.250000000002,51200
,,3+000,3+500,500,1.815,,1.926,3.355,0.574,,0.625,0.018,0.0002,1.4,1.1,0.06,1.3,1.65,1.65,1,5,5,20,20,คลองดาดคอนกรีต,,,3+000,3+500,500,3.355,1677.5,15458.750000000002,20000
,,3+500,4+500,1000,1.815,1.927,1.926,3.355,0.574,,0.625,0.018,0.0002,1.4,1.1,0.06,1.3,1.65,1.65,1,5,5,20,20,คลองดาดคอนกรีต,,,3+500,4+500,1000,3.355,3355,18813.75,40000
,,4+500,5+260,760,1.102,,1.103,2.205,0.5,,0.507,0.018,0.0002,1.1,0.9,0.06,1.1,1.4,1.4,1,2,5,15,15,คลองดาดคอนกรีต,,,4+500,5+260,760,2.205,1675.8,20489.55,22800
,,5+260,6+620,1360,1.043,1.102,1.103,2.205,0.5,,0.507,0.018,0.0002,1.1,0.9,0.06,1.1,1.4,1.4,1,2,5,15,15,คลองดาดคอนกรีต,,,5+260,6+620,1360,2.205,2998.8,23488.35,40800
,,6+620,7+000,380,0.669,,0.67,1.519,0.441,,0.421,0.018,0.0002,0.9,0.75,0.06,0.9,1.2,1.2,1,2,5,15,15,คลองดาดคอนกรีต,,,6+620,7+000,380,1.5187499999999998,577.1249999999999,24065.475,11400
,,7+000,8+780,1780,0.669,0.67,0.67,1.519,0.441,,0.421,0.018,0.0002,0.9,0.75,0.06,0.9,1.2,1.2,1,2,5,15,15,คลองดาดคอนกรีต,,,7+000,8+780,1780,1.5187499999999998,2703.3749999999995,26768.85,53400
,,8+780,8+900,120,-,0.159,0.151,0.625,0.242,,0.271,0.03,0.0003,0.5,0.5,0,0,0,0,0,0,0,15,15,คลองดิน,,,8+780,8+900,120,0.625,75,26843.85,3600
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,8900,,26843.85,,312000
,1R-38R-LMC,0+000,2+050,2050,0.417,0.431,0.436,1.099,0.397,,0.359,0.018,0.0002,0.7,0.654,0.06,0.8,1.05,1.05,0,5,2,15,15,คลองดาดคอนกรีต,,1R-38R-LMC,0+000,2+050,2050,1.099374,2253.7167,2253.7167,61500
,,2+050,3+500,1450,0.254,,0.265,0.756,0.351,,0.298,0.018,0.0002,0.55,0.55,0.06,0.7,0.95,0.95,0,5,2,15,15,คลองดาดคอนกรีต,,,2+050,3+500,1450,0.7562500000000001,1096.5625000000002,3350.2792,43500
,,3+500,4+200,700,0.254,0.265,0.265,0.756,0.351,,0.298,0.018,0.0002,0.55,0.55,0.06,0.7,0.95,0.95,0,5,2,15,15,คลองดาดคอนกรีต,,,3+500,4+200,700,0.7562500000000001,529.3750000000001,3879.6542,21000
,,4+200,4+550,350,-,0.159,0.151,0.625,0.242,,0.271,0.03,0.0003,0.5,0.5,0,0,0,0,0,0,0,15,15,คลองดิน,,,4+200,4+550,350,0.625,218.75,4098.4042,10500
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,4550,,4098.4042,,136500
,2R-38R-LMC,0+000,0+540,540,1.289,1.297,1.297,2.494,0.52,,0.539,0.018,0.0002,1.2,0.95,0.06,1.15,1.45,1.45,1,5,5,15,15,คลองดาดคอนกรีต,,2R-38R-LMC,0+000,0+540,540,2.49375,1346.625,1346.625,16200
,,0+540,1+200,660,0.436,0.504,0.505,1.225,0.412,,0.38,0.018,0.0002,0.7,0.7,0.06,0.85,1.15,1.15,1,5,5,15,15,คลองดาดคอนกรีต,,,0+540,1+200,660,1.2249999999999999,808.4999999999999,2155.125,19800
,,1+200,3+020,1820,0.356,0.414,0.414,1.056,0.392,,0.353,0.018,0.0002,0.65,0.65,0.06,0.8,1.05,1.05,0,5,5,15,15,คลองดาดคอนกรีต,,,1+200,3+020,1820,1.0562500000000001,1922.3750000000002,4077.5,54600
,,3+020,3+500,480,0.11,,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,0,2,5,15,15,คลองดาดคอนกรีต,,,3+020,3+500,480,0.625,300,4377.5,14400
,,3+500,3+650,150,0.11,0.205,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,0,2,5,15,15,คลองดาดคอนกรีต,,,3+500,3+650,150,0.625,93.75,4471.25,4500
,,3+650,3+850,200,-,0.159,0.151,0.625,0.242,,0.271,0.03,0.0003,0.5,0.5,0,0,0,0,0,0,0,15,15,คลองดิน,,,3+650,3+850,200,0.625,125,4596.25,6000
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,3850,,4596.25,,115500
,1R-2R-38R-LMC,0+000,1+000,1000,0.898,0.925,0.926,1.934,0.479,,0.476,0.018,0.0002,1,0.85,0.06,1,1.3,1.3,1,5,2,15,15,คลองดาดคอนกรีต,,1R-2R-38R-LMC,0+000,1+000,1000,1.9337499999999999,1933.7499999999998,1933.7499999999998,30000
,,1+000,3+200,2200,0.757,0.768,0.768,1.68,0.457,,0.444,0.018,0.0002,0.9,0.8,0.06,0.95,1.25,1.25,1,5,2,15,15,คลองดาดคอนกรีต,,,1+000,3+200,2200,1.6800000000000002,3696.0000000000005,5629.75,66000
,,3+200,3+500,300,0.511,,0.543,1.295,0.419,,0.39,0.018,0.0002,0.8,0.7,0.06,0.85,1.15,1.15,1,5,2,15,15,คลองดาดคอนกรีต,,,3+200,3+500,300,1.295,388.5,6018.25,9000
,,3+500,5+000,1500,0.511,0.542,0.543,1.295,0.419,,0.39,0.018,0.0002,0.8,0.7,0.06,0.85,1.15,1.15,1,5,2,15,15,คลองดาดคอนกรีต,,,3+500,5+000,1500,1.295,1942.5,7960.75,45000
,,5+000,6+280,1280,0.298,0.334,0.335,0.9,0.372,,0.326,0.018,0.0002,0.6,0.6,0.06,0.75,1,1,0,5,2,15,15,คลองดาดคอนกรีต,,,5+000,6+280,1280,0.8999999999999999,1152,9112.75,38400
,,6+280,7+000,720,0.188,,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,0,5,2,15,15,คลองดาดคอนกรีต,,,6+280,7+000,720,0.625,450,9562.75,21600
,,7+000,7+720,720,0.188,0.205,0.206,0.625,0.329,,0.271,0.018,0.0002,0.5,0.5,0.06,0.65,0.9,0.9,0,5,2,15,15,คลองดาดคอนกรีต,,,7+000,7+720,720,0.625,450,10012.75,21600
,,7+720,7+780,60,-,0.159,0.151,0.625,0.242,,0.271,0.03,0.0003,0.5,0.5,0,0,0,0,0,0,0,15,15,คลองดิน,,,7+720,7+780,60,0.625,37.5,10050.25,1800
,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม,,,7780,,10050.25,,233400
, 4L-38R-LMC,0+000,1+310,1310,0.707,0.768,0.768,1.68,0.457,,0.444,0.018,0.0002,0.9,0.8,0.06,0.95,1.25,1.25,1,2,5,15,15,คลองดาดคอนกรีต,, 4L-38R-LMC,0+000,1+310,1310,1.6800000000000002,2200.8,2200.8,39300
,,1+310,2+450,1140,0.651,0.67,0.67,1.519,0.441,,0.421,0.018,0.0002,0.9,0.75,0.06,0.9,1.2,1.2,1,2,5,15,15,คลองดาดคอนกรีต,,,1+310,2+450,1140,1.5187499999999998,1731.3749999999998,3932.175,34200
,,2+450,3+300,850,0.563,0.628,0.628,1.444,0.435,,0.412,0.018,0.0002,0.8,0.75,0.06,0.9,1.2,1.2,1,2,5,15,15,คลองดาดคอนกรีต,,,2+450,3+300,850,1.44375,1227.1875,5159.3625,25500
,,3+300,3+500,200,0.508,,0.543,1.295,0.419,,0.39,0.018,0.0002,0.8,0.7,0.06,0.85,1.15,1.15,1,2,5,15,15,คลองดาดคอนกรีต,,,3+300,3+500,200,1.295,259,5418.3625,6000
,,3+500,4+170,670,0.508,0.542,0.543,1.295,0.419,,0.39,0.018,0.0002,0.8,0.7,0.06,0.85,1.15,1.15,1,2,5,15,15,คลองดาดคอนกรีต,,,3+500,4+170,670,1.295,867.65,6286.0125,20100
,,4+170,4+800,630,0.382,0.431,0.431,1.089,0.396,,0.358,0.018,0.0002,0.7,0.65,0.06,0.8,1.05,1.05,0,2,5,15,15,คลองดาดคอนกรีต,,,4+170,4+800,630,1.08875,685.9125,6971.925,18900
